sample_id,proposed_label,source_file,unit_name,start_line,end_line,score,metrics,final_label
go_cand_000,god_class,django\django\db\models\sql\query.py,Query,158,2590,2838,"method=91,sloc=1928",
go_cand_001,god_class,django\django\db\models\query.py,QuerySet,291,1976,2542,"method=110,sloc=1442",
go_cand_002,god_class,django\django\db\models\base.py,Model,459,2477,2329,"method=63,sloc=1699",
go_cand_003,god_class,django\django\db\backends\base\schema.py,BaseDatabaseSchemaEditor,75,1830,2196,"method=71,sloc=1486",
go_cand_004,god_class,django\django\contrib\admin\options.py,ModelAdmin,614,2282,2083,"method=67,sloc=1413",
go_cand_005,god_class,django\django\db\migrations\autodetector.py,MigrationAutodetector,21,1759,2001,"method=49,sloc=1511",
go_cand_006,god_class,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParserElement,1075,2334,1652,"method=60,sloc=1052",
go_cand_007,god_class,django\django\db\models\sql\compiler.py,SQLCompiler,39,1620,1607,"method=29,sloc=1317",
go_cand_008,god_class,django\django\db\models\fields\__init__.py,Field,113,1088,1437,"method=62,sloc=817",
go_cand_009,god_class,flask\src\flask\app.py,Flask,79,1498,1421,"method=34,sloc=1081",
go_cand_010,god_class,django\django\db\backends\base\operations.py,BaseDatabaseOperations,15,778,1395,"method=75,sloc=645",
go_cand_011,god_class,django\django\contrib\gis\geos\geometry.py,GEOSGeometryBase,22,667,1339,"method=82,sloc=519",
go_cand_012,god_class,scikit-learn\sklearn\inspection\_plot\partial_dependence.py,PartialDependenceDisplay,23,1473,1297,"method=8,sloc=1217",
go_cand_013,god_class,scikit-learn\sklearn\ensemble\_hist_gradient_boosting\gradient_boosting.py,BaseHistGradientBoosting,139,1414,1253,"method=25,sloc=1003",
go_cand_014,god_class,scikit-learn\sklearn\pipeline.py,Pipeline,59,1186,1240,"method=36,sloc=880",
go_cand_015,god_class,django\django\db\backends\base\base.py,BaseDatabaseWrapper,44,802,1218,"method=63,sloc=588",
go_cand_016,god_class,scikit-learn\sklearn\compose\_column_transformer.py,ColumnTransformer,58,1220,1208,"method=26,sloc=948",
go_cand_017,god_class,django\django\db\models\options.py,Options,87,1014,1156,"method=43,sloc=726",
go_cand_018,god_class,django\django\db\backends\oracle\operations.py,DatabaseOperations,21,722,1099,"method=53,sloc=569",
go_cand_019,god_class,django\django\contrib\gis\gdal\geometries.py,OGRGeometry,60,520,946,"method=60,sloc=346",
go_cand_020,god_class,scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseResults,302,942,925,"method=39,sloc=535",
go_cand_021,god_class,flask\src\flask\sansio\app.py,App,59,964,890,"method=30,sloc=590",
go_cand_022,god_class,scikit-learn\sklearn\mixture\_bayesian_mixture.py,BayesianGaussianMixture,74,888,842,"method=20,sloc=642",
go_cand_023,god_class,django\django\contrib\admin\checks.py,BaseModelAdminChecks,176,787,829,"method=27,sloc=559",
go_cand_024,god_class,scikit-learn\sklearn\model_selection\_search.py,BaseSearchCV,384,1161,824,"method=21,sloc=614",
go_cand_025,god_class,django\django\db\models\fields\related.py,ManyToManyField,1301,1982,811,"method=24,sloc=571",
go_cand_026,god_class,scikit-learn\sklearn\impute\_iterative.py,IterativeImputer,50,906,809,"method=11,sloc=699",
go_cand_027,god_class,scikit-learn\sklearn\ensemble\_gb.py,BaseGradientBoosting,354,1114,808,"method=19,sloc=618",
go_cand_028,god_class,click\src\click\core.py,Context,160,831,782,"method=29,sloc=492",
go_cand_029,god_class,scikit-learn\sklearn\decomposition\_lda.py,LatentDirichletAllocation,163,929,752,"method=15,sloc=602",
go_cand_030,god_class,django\django\forms\formsets.py,BaseFormSet,54,531,745,"method=35,sloc=395",
go_cand_031,god_class,django\django\db\migrations\state.py,ProjectState,93,578,743,"method=35,sloc=393",
